"log_prob","rule"
-7.26369395194,"CP  _UNK _UNK _UNK LEX"
-7.26369395194,"CP  _UNK LEX VP"
-7.26369395194,"CP  LEX LEX LEX _UNK"
-7.26369395194,"CP  _UNK _UNK _UNK"
-0.0884491037939,"CP  _UNK IP"
-3.71984026988,"CP  _UNK LEX _UNK LEX"
-5.89760229814,"CP  LEX"
-7.26369395194,"CP  LEX _UNK _UNK LEX"
-7.26369395194,"CP  _UNK LEX _UNK VP"
-7.26369395194,"CP  LEX LEX VP"
-4.21158134495,"CP  _UNK LEX LEX LEX"
-7.26369395194,"CP  _UNK _UNK VP"
-3.32951814187,"CP  LEX IP"
-7.26369395194,"CP  _UNK _UNK LEX"
-10.4825697768,"CP  LEX VP"
-7.26369395194,"CP  LEX LEX"
-3.23054865738,"IP  _UNK _UNK _UNK LEX"
-13.8852366508,"IP  _UNK LEX VP"
-9.76070160675,"IP  _UNK _catch"
-8.11954939732,"IP  _UNK _UNK _UNK _UNK _UNK LEX"
-9.64651384365,"IP  _UNK _UNK _UNK _UNK VP"
-11.0255266192,"IP  LEX _think _UNK"
-14.5757487837,"IP  _UNK LEX LEX _UNK _UNK LEX"
-13.8852366508,"IP  _UNK _have IP"
-11.0545097105,"IP  _UNK LEX _UNK _eat"
-5.01091495079,"IP  _present LEX"
-13.8826016032,"IP  _present LEX VP"
-3.67628072842,"IP  _UNK LEX"
-14.5757487837,"IP  LEX _UNK"
-12.0956783711,"IP  LEX _UNK LEX"
-13.8852366508,"IP  LEX LEX CP"
-9.21036320369,"IP  LEX _UNK _UNK VP"
-13.1934096025,"IP  _could VP"
-9.79349000732,"IP  LEX _read"
-11.1466973394,"IP  _UNK IP"
-10.6890975689,"IP  _could LEX"
-2.06054393798,"IP  LEX"
-8.01575341871,"IP  LEX LEX LEX LEX"
-10.027093256,"IP  _present _UNK IP"
-10.610634102,"IP  _UNK _UNK LEX VP"
-11.4453016077,"IP  _UNK _write PP"
-9.13853941832,"IP  _past VP"
-11.0545097105,"IP  _UNK _UNK NP"
-2.63167876807,"IP  _UNK VP"
-19.8227728559,"IP  LEX CP"
-14.5757487837,"IP  _non-finite"
-0.344611945744,"IP  _UNK _UNK"
-13.8852366508,"IP  LEX LEX VP"
-12.1821690295,"IP  _will VP"
-8.80026599492,"IP  LEX LEX LEX _UNK VP"
-9.1342428581,"IP  _can VP"
-14.5757487837,"IP  _UNK"
-10.796715964,"IP  _UNK LEX LEX LEX"
-13.8852366508,"IP  _UNK LEX LEX"
-8.55997680733,"IP  _UNK _UNK CP"
-12.788384926,"IP  _present _UNK _UNK _UNK"
-10.5378817527,"IP  _'d VP"
-14.5757487837,"IP  _UNK _read"
-11.8067850449,"IP  _UNK LEX PP"
-9.13849361295,"IP  LEX LEX LEX"
-11.213547579,"IP  _UNK _sit PP"
-7.69755241226,"IP  LEX _UNK IP"
-9.518397321,"IP  _UNK _go IP"
-11.8726229682,"IP  _UNK _UNK _UNK LEX VP"
-10.4865930991,"IP  _shall VP"
-14.5757487837,"IP  _non-finite _UNK"
-14.5757487837,"IP  LEX LEX _think PP"
-14.5757487837,"IP  _UNK _help PP"
-9.31830823777,"IP  _would LEX"
-14.5757487837,"IP  LEX _start VP"
-8.40302684235,"IP  _UNK LEX IP"
-10.3757016591,"IP  _non-finite VP"
-7.14498866544,"IP  LEX LEX _UNK"
-6.32571565405,"IP  LEX _have"
