"log_prob","rule"
-10.1730877203,"CP  LEX _might VP"
-7.189934229,"CP  _UNK _UNK _UNK"
-8.79671079588,"CP  _UNK _past _come PP"
-7.29522072267,"CP  _null _UNK _cry"
-9.08328606136,"CP  _like LEX VP"
-7.24119245966,"CP  _UNK _might _need"
-7.41291123855,"CP  _like _present _do"
-5.34204087927,"CP  _null _must VP"
-10.1730877203,"CP  LEX _'ll VP"
-10.1730877203,"CP  _null _UNK _win"
-7.29522072267,"CP  _null LEX _start LEX"
-4.62945340667,"CP  _null _present _like _non-finite _eat"
-9.48654122382,"CP  LEX _UNK LEX"
-10.1730877203,"CP  LEX _could LEX"
-5.09865431072,"CP  LEX _present LEX PP"
-2.22492555406,"CP  _UNK IP"
-7.70031580302,"CP  _null _might _UNK _non-finite"
-14.5038210606,"CP  LEX"
-0.172418534526,"CP  _null IP"
-10.1730877203,"CP  _null _past VP"
-10.1730877203,"CP  LEX _present LEX _for"
-7.70031580302,"CP  LEX _non-finite _color"
-7.54632368976,"CP  _UNK _should _color"
-7.00772371546,"CP  _UNK _'ll VP"
-10.1730877203,"CP  _null _present VP"
-7.05025918899,"CP  LEX _must VP"
-7.88241540887,"CP  _until IP"
-5.3186959378,"CP  _null _should _color"
-8.39235372113,"CP  _UNK LEX LEX"
-7.98762798459,"CP  _null _might LEX _UNK"
-7.54632368976,"CP  _null _could LEX _do"
-10.1730877203,"CP  _until LEX _come"
-8.39235372113,"CP  _UNK _past _want _non-finite _make"
-9.08328606136,"CP  _null LEX _stick"
-5.57108042577,"CP  _null _have _non-finite VP"
-5.5040782708,"CP  _null _could _start VP"
-10.1730877203,"CP  _UNK _UNK LEX PP"
-7.05025918899,"CP  _null _present _do _study PP"
-7.7836009055,"CP  _that IP"
-10.1730877203,"CP  LEX _UNK VP"
-7.62035847422,"CP  LEX _would _UNK _non-finite _eat"
-10.1730877203,"CP  _UNK _UNK VP"
-7.88241540887,"CP  _UNK _present _sit PP"
-7.54632368976,"CP  _null VP"
-10.1730877203,"CP  _null _past _saw"
-9.47338313924,"CP  LEX IP"
-9.08328606136,"CP  LEX _past _want _UNK _make"
-6.01174057003,"CP  _UNK _could VP"
-10.1730877203,"CP  _null _win"
-7.35233559673,"CP  _null _have _UNK VP"
-7.54632368976,"CP  LEX _would _like _non-finite VP"
-10.1600156388,"CP  LEX VP"
-10.1730877203,"CP  _null _UNK VP"
-10.1730877203,"CP  LEX LEX _color"
-10.1730877203,"CP  _null LEX _get"
-6.96692393107,"CP  LEX _have _non-finite VP"
-7.72428495496,"IP  _present _be NP"
-9.49651175779,"IP  _past _come PP"
-7.82906957329,"IP  _past _use IP"
-6.1628214476,"IP  _shall LEX"
-12.3988445553,"IP  _non-finite _wan _UNK VP"
-8.92997879344,"IP  _non-finite _wear"
-14.5932961673,"IP  _past _want _UNK _make"
-11.2290127118,"IP  _UNK LEX _UNK LEX"
-8.8566032862,"IP  _non-finite _UNK PP"
-14.5932961673,"IP  _could LEX"
-2.07057802889,"IP  LEX"
-11.2290127118,"IP  _past _UNK _non-finite LEX"
-9.61278826905,"IP  _non-finite LEX LEX"
-14.5932961673,"IP  LEX _hold"
-8.29196177925,"IP  _non-finite _fee"
-8.85339307498,"IP  _past LEX LEX"
-9.38691306544,"IP  _non-finite _keep PP"
-7.56998671063,"IP  _past _do VP"
-14.5932961673,"IP  _non-finite _let _UNK PP"
-14.5932961673,"IP  _UNK _UNK"
-5.68596469465,"IP  _will VP"
-11.7058709407,"IP  _present LEX _non-finite VP"
-4.8086759998,"IP  _can VP"
-14.5932961673,"IP  _non-finite _use PP"
-12.1982369713,"IP  _UNK _have _UNK VP"
-9.73657966576,"IP  _UNK LEX _UNK"
-6.22032522449,"IP  _'d VP"
-9.06301445421,"IP  _UNK _want _non-finite VP"
-10.7045322231,"IP  _present LEX _on NP"
-6.34318783526,"IP  LEX _play _with"
-7.25363508266,"IP  _present LEX LEX"
-9.13257124818,"IP  _present _go IP"
-11.1623282888,"IP  LEX LEX LEX _non-finite _color"
-10.0425065088,"IP  _UNK LEX IP"
-7.0670081585,"IP  _present _talk PP"
-8.87282098032,"IP  _must LEX"
