"log_prob","rule"
-3.78212138085,"CP  LEX LEX LEX VP"
-3.78212138085,"CP  LEX _could VP"
-3.78212138085,"CP  _UNK LEX _UNK _UNK PP"
-0.781853952135,"CP  _UNK _UNK LEX _do"
-2.39582701973,"CP  _UNK IP"
-3.78212138085,"CP  _UNK LEX _UNK LEX"
-6.87316383421,"CP  LEX"
-3.78212138085,"CP  _UNK VP"
-3.78212138085,"CP  _UNK LEX LEX"
-3.78212138085,"CP  _UNK LEX _UNK"
-1.61047364531,"CP  LEX IP"
-3.78212138085,"CP  _UNK _UNK LEX"
-3.11196371852,"CP  LEX _present LEX"
-6.87316383421,"CP  LEX VP"
-3.78212138085,"CP  _UNK _UNK _UNK PP"
-11.7997498619,"IP  LEX _wear"
-3.13662778135,"IP  LEX _UNK _UNK"
-12.0673356305,"IP  _UNK LEX VP"
-11.497578559,"IP  LEX _bear"
-13.936671039,"IP  LEX _UNK _UNK _UNK LEX"
-11.2319478372,"IP  LEX _think _UNK"
-10.5061337,"IP  LEX _play PP"
-13.936671039,"IP  _non-finite _UNK IP"
-12.234838873,"IP  LEX LEX _try"
-14.626265818,"IP  _present LEX"
-14.626265818,"IP  LEX _put"
-8.32883002286,"IP  _UNK LEX"
-14.626265818,"IP  LEX _UNK"
-11.6885684374,"IP  LEX _dream"
-10.5728171301,"IP  _UNK _tie"
-8.0307857018,"IP  LEX _tell"
-10.8265620784,"IP  _present _UNK VP"
-11.3750120602,"IP  _UNK _attach"
-7.9869742182,"IP  LEX _UNK LEX"
-11.6372939331,"IP  _UNK _keep LEX"
-14.626265818,"IP  _UNK _UNK LEX IP"
-12.8404340484,"IP  LEX _look PP"
-10.6079040521,"IP  _could VP"
-11.0496659543,"IP  _UNK IP"
-2.11242685821,"IP  LEX"
-11.6372939331,"IP  _UNK LEX LEX IP"
-12.234838873,"IP  LEX LEX _race"
-6.24175169761,"IP  _past VP"
-0.341699996992,"IP  _UNK VP"
-8.49345255232,"IP  _UNK _UNK PP"
-14.626265818,"IP  _UNK LEX LEX _present LEX"
-13.936671039,"IP  _UNK _UNK LEX _UNK PP"
-8.77829089711,"IP  _UNK _write"
-19.5750257084,"IP  LEX CP"
-14.626265818,"IP  LEX LEX VP"
-10.2144566231,"IP  _will VP"
-11.1068126992,"IP  _UNK _fit"
-9.16108260052,"IP  _can VP"
-9.97935491069,"IP  LEX _carry"
-14.626265818,"IP  _UNK"
-10.0083404469,"IP  _UNK LEX LEX LEX"
-13.936671039,"IP  _present LEX PP"
-13.2453048028,"IP  _UNK _UNK CP"
-7.25063239394,"IP  _UNK _call"
-14.626265818,"IP  LEX _UNK _UNK PP"
-6.42135554277,"IP  LEX _say"
-14.626265818,"IP  LEX _race"
-9.06501151954,"IP  LEX _saw"
-11.4972681446,"IP  LEX LEX _UNK VP"
-14.626265818,"IP  LEX LEX LEX"
-9.62934110712,"IP  _UNK LEX PP"
-12.234838873,"IP  LEX _UNK _UNK LEX _UNK"
-11.497578559,"IP  _UNK _sit PP"
-12.234838873,"IP  _UNK PP"
-11.7426147812,"IP  _UNK LEX _put"
-10.4436203245,"IP  _shall VP"
-13.2453048028,"IP  _would LEX"
-7.65516288624,"IP  _UNK LEX IP"
-12.3293706408,"IP  _non-finite VP"
-6.57157875865,"IP  _UNK LEX _UNK _UNK _UNK PP"
-9.57709198553,"IP  _UNK _go _UNK VP"
-9.32504486949,"IP  LEX _UNK VP"
-10.826403386,"IP  _UNK _UNK VP"
-4.40448392807,"IP  _UNK LEX _UNK IP"
-13.0225178213,"IP  _should LEX"
-14.626265818,"IP  LEX _UNK PP"
-14.626265818,"IP  _present _UNK LEX"
-13.936671039,"IP  LEX _have IP"
-19.5750257084,"IP  LEX IP"
-10.2024814565,"IP  LEX _sleep"
-19.5750257084,"IP  LEX NP"
-5.00960869119,"IP  _present VP"
-13.2417460802,"IP  LEX LEX IP"
-10.625660566,"IP  LEX LEX PP"
-9.6361227506,"IP  _would VP"
-8.78116028073,"IP  LEX _UNK _to"
-8.83726040467,"IP  _UNK _UNK LEX"
-19.5750257084,"IP  LEX PP"
-3.3350870081,"IP  LEX VP"
-10.9443252761,"IP  LEX _kill"
-11.9938158822,"IP  LEX _start LEX"
-3.22458568376,"IP  _UNK _UNK IP"
-11.6885684374,"IP  LEX _want PP"
-3.99277934438,"IP  _UNK _be"
-13.936671039,"IP  LEX _play"
-6.16600928777,"IP  LEX _UNK LEX LEX"
-11.3372819045,"IP  _UNK _come PP"
-14.626265818,"IP  _past LEX"
-14.626265818,"IP  _UNK LEX _do"
-9.31522827851,"IP  LEX _hear"
-9.58320681703,"IP  LEX LEX"
-7.89759478834,"IP  LEX _come"
-6.99325667899,"IP  _UNK _see"
-10.3263162337,"LEX  _under"
-9.52787238907,"LEX  _study"
-13.214716405,"LEX  _cry"
-11.0191152046,"LEX  _sit"
-9.10589596477,"LEX  _'ll"
-13.214716405,"LEX  _catch"
-13.214716405,"LEX  _bear"
-9.60582969456,"LEX  _shut"
-12.1167995266,"LEX  _in"
-7.57844198188,"LEX  _show"
-10.9140100308,"LEX  _light"
-10.081219013,"LEX  _brush"
-13.214716405,"LEX  _give"
-9.47908471271,"LEX  _run"
-10.6516136219,"LEX  _eat"
-13.214716405,"LEX  _plan"
-11.2705954319,"LEX  _must"
-13.214716405,"LEX  _fit"
-10.5086145727,"LEX  _swing"
-8.42929493026,"LEX  _finish"
-10.6516939851,"LEX  _choose"
-13.214716405,"LEX  _part"
-11.8299873977,"LEX  _plug"
-13.214716405,"LEX  _miss"
-12.5220907368,"LEX  _pretend"
-9.02710185061,"LEX  _smell"
-13.214716405,"LEX  _read"
-10.9140100308,"LEX  _as"
-11.0193473309,"LEX  _point"
-9.43256695872,"LEX  _wash"
-8.53465351089,"LEX  _push"
-7.90357237247,"LEX  _can"
-9.50318105072,"LEX  _cost"
-13.214716405,"LEX  _picture"
-11.6065305795,"LEX  _talk"
-10.7317232984,"LEX  _whine"
-9.01208027751,"LEX  _learn"
-7.94379381266,"LEX  _leave"
-9.45555537242,"LEX  _behave"
-13.214716405,"LEX  _hurt"
-10.081219013,"LEX  _notice"
-11.1371013478,"LEX  _discipline"
-10.2209673271,"LEX  _collect"
-9.45555537242,"LEX  _into"
-11.0193473309,"LEX  _without"
-9.57910794189,"LEX  _would"
-8.60166288007,"LEX  _open"
-10.9140100308,"LEX  _sound"
-12.5226125213,"LEX  _drink"
-12.5220907368,"LEX  _start"
-9.99784467248,"LEX  _lie"
-12.5226125213,"LEX  _bang"
-12.1174954209,"LEX  _goING"
-10.7317232984,"LEX  _lock"
-10.4440847582,"LEX  _scream"
-10.4440194606,"LEX  _will"
-10.9140100308,"LEX  _bowl"
-10.2722001336,"LEX  _cut"
-4.82245601809,"LEX  _have"
-11.4246963691,"LEX  _take"
-10.5086145727,"LEX  _dash"
-10.1256666457,"LEX  _firm"
-10.1256666457,"LEX  _tip"
-11.0193473309,"LEX  _settle"
-10.0386196501,"LEX  _work"
-13.214716405,"LEX  _blow"
-11.0193473309,"LEX  _blast"
-11.2705954319,"LEX  _pop"
-11.8297263352,"LEX  _hear"
-10.6516939851,"LEX  _smoke"
-13.214716405,"LEX  _break"
-10.818718846,"LEX  _Boston"
-12.5220907368,"LEX  _for"
-13.214716405,"LEX  _attach"
-7.0877379427,"LEX  _past"
-11.6069482905,"LEX  _press"
-11.2705954319,"LEX  _unbuckle"
-9.24647274425,"LEX  _that"
-10.5775974939,"LEX  _break_dance"
-11.8294653408,"LEX  _try"
-10.5086145727,"LEX  _untie"
-12.1174954209,"LEX  _know"
-13.214716405,"LEX  _fund"
-10.2209673271,"LEX  _bake"
-10.2209673271,"LEX  _roast"
-10.9140100308,"LEX  _screw"
-9.12242469574,"LEX  _juggle"
-13.214716405,"LEX  _knit"
-10.9140100308,"LEX  _pay"
-11.0193473309,"LEX  _mail"
-8.65243412777,"LEX  _color"
-9.57916293378,"LEX  _chase"
-9.88426376361,"LEX  _go"
-11.1371013478,"LEX  _out"
-13.214716405,"LEX  _love"
-13.214716405,"LEX  _fly"
-10.3263162337,"LEX  _top"
-11.2705954319,"LEX  _party"
-13.214716405,"LEX  _crack"
-10.818718846,"LEX  _back"
-9.7510028795,"LEX  _climb"
-10.818718846,"LEX  _behind"
-11.2705954319,"LEX  _freeze"
-9.57916293378,"LEX  _understand"
-9.99784467248,"LEX  _kiss"
-11.0193473309,"LEX  _float"
-13.214716405,"LEX  _from"
-10.7317232984,"LEX  _unscrew"
-11.0193473309,"LEX  _ski"
-10.818718846,"LEX  _lay"
-6.90868661372,"LEX  _present"
-10.1256666457,"LEX  _dress"
-13.214716405,"LEX  _movie"
-13.214716405,"LEX  _die"
-11.2705954319,"LEX  _offer"
-10.3263162337,"LEX  _feed"
-10.9140100308,"LEX  _onto"
-10.8185289125,"LEX  _make"
-11.1371013478,"LEX  _through"
-7.06832239603,"LEX  _look"
-10.9140100308,"LEX  _owe"
-13.214716405,"LEX  _throw"
-13.214716405,"LEX  _bury"
-10.7317232984,"LEX  _dig"
-9.72023319974,"LEX  _rip"
-11.4240002327,"LEX  _on"
-9.08963599646,"LEX  _change"
-13.214716405,"LEX  _wrestle"
-10.1256666457,"LEX  _enjoy"
-10.9140100308,"LEX  _flash"
-10.0811281617,"LEX  _see"
-9.95862717424,"LEX  _clean"
-10.5086145727,"LEX  _hammer"
-11.0193473309,"LEX  _babysitted"
-13.214716405,"LEX  _bump"
-3.51237716167,"LEX  _do"
-11.8299873977,"LEX  _wanT"
-9.66136646534,"LEX  _wait"
-10.8186238747,"LEX  _need"
-12.5220907368,"LEX  _say"
-10.9140100308,"LEX  _swallow"
-13.214716405,"LEX  _shall"
-8.63181528483,"LEX  _count"
-13.214716405,"LEX  _print"
-10.5086145727,"LEX  _develop"
-12.1174954209,"LEX  _down"
-10.9140100308,"LEX  _pelt"
-11.6067394132,"LEX  _ask"
-9.92088982304,"LEX  _fight"
-9.99784467248,"LEX  _end"
-9.45553107315,"LEX  _jump"
-10.9140100308,"LEX  _snap"
-9.28493747881,"LEX  _pour"
-13.214716405,"LEX  _fall"
-10.3263162337,"LEX  _chew"
-12.1174954209,"LEX  _stay"
-11.4243482403,"LEX  _to"
-10.2209673271,"LEX  _reach"
-6.32720320334,"LEX  _non-finite"
-11.0193473309,"LEX  _string"
-8.78596241055,"LEX  _remember"
-12.1167995266,"LEX  _let"
-11.6069482905,"LEX  _draw"
-9.08963599646,"LEX  _stop"
-10.818718846,"LEX  _rid"
-11.6063217895,"LEX  _keep"
-9.84943619675,"LEX  _check"
-11.8299873977,"LEX  _crawl"
-0.100609363715,"LEX  _UNK"
-10.7317232984,"LEX  _cancel"
-10.7317232984,"LEX  _scar"
-7.55036655332,"LEX  _sing"
-11.4245222896,"LEX  _stick"
-10.9140100308,"LEX  _imagine"
-12.5226125213,"LEX  _wunning"
-13.214716405,"LEX  _touch"
-13.214716405,"LEX  _buy"
-9.84943619675,"LEX  _serve"
-13.214716405,"LEX  _'ve"
-9.57916293378,"LEX  _walk"
-10.081219013,"LEX  _burn"
-10.9140100308,"LEX  _frighten"
-9.84943619675,"LEX  _fold"
-10.7317232984,"LEX  _slam"
-13.214716405,"LEX  _interest"
-13.214716405,"LEX  _name"
-6.60744921221,"LEX  _think"
-9.92088982304,"LEX  _spill"
-11.0193473309,"LEX  _complain"
-10.818718846,"LEX  _wipe"
-5.66299159344,"LEX  _like"
-11.0193473309,"LEX  _advertise"
-10.818718846,"LEX  _peek"
-6.60207148468,"LEX  _with"
-8.23318315268,"LEX  _feel"
-13.214716405,"LEX  _whisper"
-11.8292044145,"LEX  _use"
-11.019231261,"LEX  _tell"
-11.4246963691,"LEX  _recover"
-9.12242469574,"LEX  _shoot"
-12.1174954209,"LEX  _drive"
-10.2722551225,"LEX  _figure"
-10.7316362397,"LEX  _win"
-10.9140100308,"LEX  _twist"
-13.214716405,"LEX  _mix"
-13.214716405,"LEX  _tear"
-9.04238466729,"LEX  _save"
-9.47908471271,"LEX  _dump"
-13.214716405,"LEX  _visit"
-6.43347652104,"LEX  _mean"
-11.8294653408,"LEX  _at"
-13.214716405,"LEX  _hook"
-10.9140100308,"LEX  _scratch"
-13.214716405,"LEX  _shave"
-3.51012235966,"LEX  _null"
-10.2209673271,"LEX  _send"
-10.7317232984,"LEX  _order"
-9.19141507938,"LEX  _knock"
-11.0193473309,"LEX  _they"
-9.60580145514,"LEX  _could"
-12.1174954209,"LEX  _smile"
-11.1371013478,"LEX  _squeeze"
-9.78274947124,"LEX  _laugh"
-7.90850018116,"LEX  _be"
-12.1171474132,"LEX  _suppose"
-10.7317232984,"LEX  _unwind"
-8.4461017534,"LEX  _drop"
-8.78596241055,"LEX  _forget"
-11.0193473309,"LEX  _wind"
-8.54394595723,"LEX  _wake"
-10.0810827391,"LEX  _sleep"
-12.5226125213,"LEX  _carry"
-10.9140100308,"LEX  _those"
-9.88445031338,"LEX  _get"
-10.4440847582,"LEX  _scoot"
-13.214716405,"LEX  _bring"
-13.214716405,"LEX  _remove"
-8.09879776193,"LEX  _spell"
-10.2722551225,"LEX  _handle"
-13.214716405,"LEX  _pull"
-10.9135922326,"LEX  _play"
-12.1167995266,"LEX  _put"
-11.8297263352,"LEX  _dream"
-13.214716405,"LEX  _race"
-13.214716405,"LEX  _bet"
-7.66771987179,"LEX  _live"
-7.80069439797,"LEX  _cook"
-11.0193473309,"LEX  _tape"
-8.56282383499,"LEX  _happen"
-13.214716405,"LEX  _hide"
-9.01208027751,"LEX  _fix"
-12.5220907368,"LEX  _ride"
-13.214716405,"LEX  _wan"
-11.0193473309,"LEX  _waste"
-10.6516939851,"LEX  _cool"
-11.6065305795,"LEX  _about"
-10.3261421137,"LEX  _come"
-10.818718846,"LEX  _charge"
-9.81553704705,"LEX  _roll"
-10.9140100308,"LEX  _raise"
-12.5226125213,"LEX  _park"
-10.5086145727,"LEX  _sneeze"
-11.4246963691,"LEX  _decide"
-10.9140100308,"LEX  _might"
-13.214716405,"LEX  _Ernie"
-9.55318885747,"LEX  _listen"
-10.4440847582,"LEX  _scoop"
-9.08963599646,"LEX  _close"
-10.7316362397,"LEX  _kill"
-10.5775974939,"LEX  _cross"
