"log_prob","rule"
-6.70846943408,"CP  _UNK _present LEX _of"
-4.24415487976,"CP  _null _present _stick"
-6.70846943408,"CP  LEX _could _bring"
-7.67257189328,"CP  _UNK _might VP"
-7.04470073587,"CP  LEX _must _have"
-9.74101568075,"CP  _like _present _do"
-2.6828596011,"CP  _null _present _do"
-8.36414054155,"CP  LEX LEX _start LEX"
-6.19752333564,"CP  LEX _could VP"
-9.74101568075,"CP  LEX _UNK LEX"
-6.4950111885,"CP  LEX LEX _non-finite _do"
-7.35340033858,"CP  _null LEX _color"
-3.5671514549,"CP  _UNK IP"
-2.06146956868,"CP  LEX"
-5.65903895253,"CP  _null _would VP"
-4.93208865725,"CP  _null IP"
-9.74101568075,"CP  _like _UNK VP"
-3.46197844218,"CP  _null _past VP"
-2.3992240339,"CP  LEX _present LEX _for"
-9.74101568075,"CP  LEX _non-finite _color"
-4.84084650635,"CP  LEX _might LEX _non-finite"
-6.61755004069,"CP  _UNK LEX LEX _for"
-9.74101568075,"CP  _null _present VP"
-9.74101568075,"CP  _null LEX _do NP"
-4.74956320608,"CP  _until IP"
-0.71975112431,"CP  _null _present _be"
-4.79767826688,"CP  LEX _would _bring"
-7.44974434766,"CP  LEX _past _want _non-finite VP"
-6.31919901189,"CP  _null _present _like _UNK _eat"
-9.74101568075,"CP  _UNK _present VP"
-4.92517946496,"CP  _null _have _non-finite VP"
-7.55496440402,"CP  LEX _have LEX _do"
-6.45728888357,"CP  _null _UNK _stick"
-5.19958433573,"CP  _null _present _do _study PP"
-3.70144572768,"CP  _that IP"
-9.74101568075,"CP  LEX _UNK VP"
-7.44974434766,"CP  _null VP"
-6.70846943408,"CP  LEX _'ll LEX"
-8.35472131963,"CP  LEX IP"
-9.74101568075,"CP  LEX _win"
-8.65077164176,"CP  _UNK _UNK LEX"
-9.74101568075,"CP  LEX _could _do"
-14.1230423154,"CP  LEX VP"
-3.10326628921,"CP  _null _UNK VP"
-7.95972751139,"CP  _UNK _UNK LEX _study PP"
-6.35197522936,"CP  _null LEX LEX _for"
-7.18767186941,"CP  _null _UNK _like LEX"
-6.91963679435,"CP  _UNK _might _have"
-4.26048092951,"CP  _null _should LEX"
-9.05413811321,"CP  _UNK _present LEX _study PP"
-9.07981797965,"IP  _past _come PP"
-11.1233867214,"IP  _would _UNK LEX VP"
-11.5933326655,"IP  _UNK _know CP"
-10.717953662,"IP  LEX _be VP"
-8.64379011003,"IP  _UNK _think _UNK IP"
-14.5861465743,"IP  _present _stick"
-14.5861465743,"IP  _non-finite _wear"
-8.94023370104,"IP  LEX _go _non-finite VP"
-12.0240327575,"IP  _present _like LEX VP"
-9.84425988952,"IP  _UNK _say _null IP"
-9.65472270436,"IP  _'d _find"
-14.5861465743,"IP  _non-finite _UNK PP"
-10.637915885,"IP  _UNK _pretend CP"
