"log_prob","rule"
-9.69038723578,"IP  _past _walk PP"
-9.6398362289,"IP  LEX _dig _for"
-14.5922095593,"IP  _UNK _start VP"
-9.02733002107,"IP  _past _get PP"
-9.79163821934,"IP  _non-finite _go LEX"
-9.48367904565,"IP  _UNK IP"
-11.4174888238,"IP  LEX _suppose LEX _park"
-8.41153174859,"IP  _past _tell CP"
-8.7123557296,"IP  _present _like _UNK VP"
-9.60523153431,"IP  _should _color"
-12.0304704775,"IP  _past _say _UNK _UNK VP"
-10.5702739149,"IP  _UNK _UNK _UNK IP"
-9.72809976972,"IP  LEX CP"
-8.1937301796,"IP  _non-finite"
-9.47170310448,"IP  _present LEX LEX IP"
-14.5922095593,"IP  _present LEX PP"
-8.42816402816,"IP  _UNK _go _UNK LEX"
-7.66714659286,"IP  _present _suppose IP"
-6.04815875642,"IP  _shall VP"
-7.31154823462,"IP  _should VP"
-8.06772481203,"IP  _present LEX _into"
-8.25884975872,"IP  _'ll VP"
-6.55459569816,"IP  _present _UNK CP"
-11.2997219171,"IP  _past _say _UNK _past VP"
-20.2551700394,"IP  LEX NP"
-6.50283573092,"IP  _past _saw"
-9.81653505098,"IP  _present _goING IP"
-4.57029226668,"IP  _present _go _non-finite LEX"
-9.75937826377,"IP  _would _like CP"
-20.2551700394,"IP  LEX PP"
-9.8249736715,"IP  _'d _like LEX LEX"
-11.8874053615,"IP  _UNK _UNK _call"
-7.7877490299,"IP  _present _come PP"
-13.2085227616,"IP  _present _UNK _go IP"
-6.86287876638,"IP  _present _have IP"
-9.00468784205,"IP  _UNK LEX VP"
-10.1183114154,"IP  _present _be _about _non-finite LEX LEX"
-9.86826917074,"IP  _present LEX _study _on"
-12.6462994102,"IP  _UNK LEX"
-14.5922095593,"IP  _present _cry"
-14.5922095593,"IP  LEX _know"
-14.5922095593,"IP  LEX _UNK LEX"
-8.50437005855,"IP  _present LEX _of"
-6.24714834851,"IP  _could VP"
-14.5922095593,"IP  _will _make"
-9.5652271292,"IP  _UNK _be NP"
-10.2261958669,"IP  _present _UNK IP"
-4.077203274,"IP  _past VP"
-2.36142582235,"IP  _UNK VP"
-14.5922095593,"IP  LEX _touch"
-6.1521404223,"IP  _past LEX PP"
-11.1298430418,"IP  _UNK _like IP"
-14.5922095593,"IP  _UNK _stay"
-8.93271524527,"IP  _would _think"
-7.06735418368,"IP  _present LEX _UNK"
-11.1943743047,"IP  _present _put PP"
-14.5922095593,"IP  _could _do"
-13.8990623787,"IP  _present _do"
-2.22173910897,"IP  _null"
-8.18714181207,"IP  _might VP"
-12.6487826497,"IP  _UNK _UNK VP"
-14.5922095593,"IP  _non-finite LEX _for"
-9.8249736715,"IP  _should _present IP"
-11.2997219171,"IP  _present _UNK _UNK _UNK VP"
-13.4924405325,"IP  LEX VP"
