"log_prob","rule"
-6.27442048248,"CP  _UNK LEX VP"
-5.24964556659,"CP  LEX _could _bring"
-10.2124901968,"CP  LEX LEX _like _UNK VP"
-10.2124901968,"CP  LEX _might VP"
-10.2124901968,"CP  _that _present _UNK"
-5.29190118343,"CP  _null _might LEX"
-10.2124901968,"CP  _that LEX VP"
-2.8332046767,"CP  _null LEX VP"
-7.45300782211,"CP  _null _UNK LEX _non-finite"
-6.41950100898,"CP  _null _UNK LEX"
-5.31371799589,"CP  LEX _'d LEX"
-10.2124901968,"CP  _null _UNK _allow IP"
-7.39243493737,"CP  _null _UNK _do NP"
-10.2124901968,"CP  LEX LEX LEX NP"
-10.2124901968,"CP  _like IP"
-3.41176349062,"CP  _UNK IP"
-14.4891563159,"CP  LEX"
-0.376120786105,"CP  _null IP"
-6.29437467742,"CP  _null _past VP"
-7.00703739231,"CP  _UNK _might LEX"
-7.04783592614,"CP  LEX LEX _start _do"
-7.13479398544,"CP  LEX _could _start _do"
-9.11851828773,"CP  _null _present VP"
-10.2124901968,"CP  _null _UNK"
-5.22243561045,"CP  _until IP"
-10.2124901968,"CP  _null _present _UNK PP"
-10.2124901968,"CP  LEX _past _want _non-finite _make"
-3.52201030392,"CP  _UNK _present VP"
-2.51447363,"CP  _null"
-4.53269687856,"CP  _null _present LEX"
-3.04259503754,"CP  _UNK _present _be"
-5.18286960284,"CP  _that IP"
-5.59161071715,"CP  LEX _UNK VP"
-6.92959681985,"CP  _UNK _UNK VP"
-7.00703739231,"CP  _null _UNK LEX VP"
-7.66044424422,"CP  _UNK LEX _get"
-9.12318030084,"CP  LEX _'ll LEX"
-10.2124901968,"CP  _UNK LEX _be PP"
-14.4891563159,"CP  LEX IP"
-5.5078518209,"CP  _null _have LEX VP"
-7.5864135787,"CP  _UNK LEX LEX _non-finite _eat"
-7.04724958781,"CP  _UNK _UNK LEX"
-5.35117160608,"CP  _null _win"
-10.2124901968,"CP  _UNK _present _do"
-14.4891563159,"CP  LEX VP"
-10.2124901968,"CP  _null _UNK VP"
-7.66044424422,"CP  _UNK _present _know"
-8.09007765108,"IP  _past _use IP"
-7.13295532336,"IP  LEX _count"
-9.45119287454,"IP  _non-finite _play LEX"
-14.5902842575,"IP  _present _hurt"
-11.2254864215,"IP  _non-finite _talk LEX"
-9.67287174539,"IP  _present LEX _try"
-14.5902842575,"IP  _non-finite _push"
-14.5902842575,"IP  _non-finite _UNK _UNK VP"
-14.5902842575,"IP  LEX _UNK"
-11.7595058561,"IP  _present _like LEX VP"
-7.78052363686,"IP  _non-finite _UNK PP"
-7.48054202496,"IP  _could LEX"
-2.07179839486,"IP  LEX"
-9.02451718928,"IP  _present _come IP"
-8.42534965901,"IP  _non-finite _write PP"
-8.7263888462,"IP  _past LEX LEX"
-14.5902842575,"IP  _UNK _draw NP"
-8.77873331591,"IP  LEX _let IP"
-7.68711570889,"IP  _past _do VP"
-13.2059297612,"IP  LEX LEX LEX _read"
-14.5902842575,"IP  _UNK _UNK"
-11.7595058561,"IP  LEX LEX VP"
-5.79471847173,"IP  _will VP"
-7.41508718725,"IP  _present LEX _non-finite VP"
-5.14619485945,"IP  _can VP"
-7.72074079509,"IP  _present _write PP"
-9.80533666132,"IP  _UNK LEX _UNK"
-6.43121038966,"IP  _'d VP"
-7.10850148234,"IP  _UNK _want _non-finite VP"
-12.9823979358,"IP  LEX LEX LEX"
-9.93888655813,"IP  _non-finite _hold PP"
-14.5902842575,"IP  _present _UNK"
-7.79827919802,"IP  _present LEX LEX"
-14.5902842575,"IP  _non-finite _sing"
-8.13139935679,"IP  LEX _wash"
-12.2900274543,"IP  _present _go IP"
-10.4984838419,"IP  _UNK LEX IP"
-9.04378541577,"IP  _present _talk PP"
-14.5902842575,"IP  _UNK _eat"
-11.8201209548,"IP  _present _need _non-finite LEX PP"
-14.5902842575,"IP  _UNK _allow IP"
-7.47972736269,"IP  _should LEX"
-5.13840742483,"IP  _non-finite LEX"
-9.76453711858,"IP  _past _saw IP"
-11.2969387688,"IP  _non-finite _put PP"
-20.5487089505,"IP  LEX IP"
-1.68477867911,"IP  _present VP"
-9.70250297428,"IP  _present _finish LEX"
-11.6482962599,"IP  LEX LEX IP"
-9.27965284016,"IP  _will _have IP"
-14.5902842575,"IP  LEX _do"
-5.121244049,"IP  _would VP"
-8.03751100409,"IP  _will LEX"
-7.58526862261,"IP  LEX _put _on"
-14.5902842575,"IP  _present _have"
-14.5902842575,"IP  _non-finite _say"
-11.3738921346,"IP  _UNK _have LEX VP"
-8.09760211173,"IP  _would _like LEX VP"
-9.63000883437,"IP  _must _have"
-6.50523049713,"IP  LEX _make"
-8.93687071198,"IP  LEX _write PP"
-6.46192851642,"IP  LEX _go _UNK VP"
-12.9808463451,"IP  LEX LEX"
-14.5902842575,"IP  _present IP"
-9.97772541432,"IP  _present _know _that LEX VP"
-9.08347275593,"IP  _past _UNK _null IP"
-9.62304029086,"IP  LEX _get _shave"
-12.0277229609,"IP  LEX _go _UNK _give"
-14.5902842575,"IP  _non-finite _park"
-6.47317455707,"IP  _present _be VP"
-14.5902842575,"IP  LEX _draw _picture PP"
-14.5902842575,"IP  _non-finite _go _present LEX"
-10.0495492388,"IP  _UNK _UNK _non-finite VP"
-14.5902842575,"IP  _non-finite _live"
-14.5902842575,"IP  _non-finite LEX IP"
-6.62697794675,"IP  _UNK _think CP"
